Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755705360,20,,Aggregated,7.100000,0.000000,760,770,850,930,950,1000,1100,1100,1100,1100,1100,304,0,760.0,790.0069230270578,333.68320000590757,1140.8348999975715,119566.08552631579
1755705361,20,,Aggregated,7.200000,0.000000,760,770,850,930,950,1000,1100,1100,1100,1100,1100,308,0,760.0,789.1371720785149,333.68320000590757,1140.8348999975715,119566.08441558441
1755705362,20,,Aggregated,7.000000,0.000000,760,770,830,930,950,1000,1100,1100,1100,1100,1100,316,0,760.0,787.9666098108172,333.68320000590757,1140.8348999975715,119566.08227848102
1755705363,20,,Aggregated,7.400000,0.000000,760,770,820,930,950,1000,1100,1100,1100,1100,1100,324,0,760.0,787.3933024696911,333.68320000590757,1140.8348999975715,119566.08333333333
1755705364,20,,Aggregated,7.200000,0.000000,760,770,800,930,950,1000,1100,1100,1100,1100,1100,332,0,760.0,785.6137195789831,333.68320000590757,1140.8348999975715,119566.0813253012
1755705365,20,,Aggregated,6.700000,0.000000,760,770,800,920,950,1000,1100,1100,1100,1100,1100,340,0,760.0,785.2459973535802,333.68320000590757,1140.8348999975715,119566.0794117647
1755705366,20,,Aggregated,7.000000,0.000000,760,770,800,920,950,1000,1100,1100,1100,1100,1100,346,0,760.0,783.5312410411856,333.68320000590757,1140.8348999975715,119566.08092485549
1755705367,20,,Aggregated,7.200000,0.000000,760,770,790,920,940,1000,1100,1100,1100,1100,1100,354,0,760.0,782.3292387011928,333.68320000590757,1140.8348999975715,119566.0790960452
1755705368,20,,Aggregated,7.000000,0.000000,760,770,790,910,940,1000,1100,1100,1100,1100,1100,362,0,760.0,781.8222588403485,333.68320000590757,1140.8348999975715,119566.08287292818
1755705369,20,,Aggregated,7.200000,0.000000,760,770,790,900,940,1000,1100,1100,1100,1100,1100,368,0,760.0,779.7738377723125,333.68320000590757,1140.8348999975715,119566.08423913043
1755705370,20,,Aggregated,7.200000,0.000000,760,770,790,870,940,1000,1100,1100,1100,1100,1100,375,0,760.0,779.2354909339143,333.68320000590757,1140.8348999975715,119566.08266666667
1755705371,20,,Aggregated,7.200000,0.000000,760,770,780,850,940,1000,1100,1100,1100,1100,1100,383,0,760.0,777.1956798962929,213.65310001419857,1140.8348999975715,119566.08355091384
